year,oshpd_id,facility_name,county_name,er_service_level_desc,ed_admit,ed_visit,burden_score,facility_id
2014,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,HUMBOLDT,STANDBY,14.0,2951.0,0.04091865216649773,jerold-phelps-community-hospital
2014,106121051,REDWOOD MEMORIAL HOSPITAL,HUMBOLDT,BASIC,823.0,10842.0,0.15033548857647186,redwood-memorial-hospital
2014,106121080,ST. JOSEPH HOSPITAL - EUREKA,HUMBOLDT,BASIC,4225.0,26473.0,0.36707539098735836,st-joseph-hospital---eureka
2014,106130699,EL CENTRO REGIONAL MEDICAL CENTER,IMPERIAL,BASIC,3454.0,45779.0,0.6347729507048796,el-centro-regional-medical-center
2014,106130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,IMPERIAL,BASIC,2201.0,41736.0,0.5787125946529819,pioneers-memorial-healthcare-district
2014,106141273,NORTHERN INYO HOSPITAL,INYO,BASIC,519.0,7756.0,0.10754492246809774,northern-inyo-hospital
2014,106141338,SOUTHERN INYO HOSPITAL,INYO,STANDBY,30.0,1113.0,0.015432890498580813,southern-inyo-hospital
2014,106150706,DELANO REGIONAL MEDICAL CENTER,KERN,BASIC,1890.0,25525.0,0.35393039530662646,delano-regional-medical-center
2014,106150722,BAKERSFIELD MEMORIAL HOSPITAL,KERN,BASIC,9270.0,60562.0,0.8397544603549426,bakersfield-memorial-hospital
2014,106150736,KERN MEDICAL CENTER,KERN,BASIC,4291.0,38282.0,0.5308193297993448,kern-medical-center
2014,106150737,KERN VALLEY HEALTHCARE DISTRICT,KERN,STANDBY,585.0,6900.0,0.09567560147368159,kern-valley-healthcare-district
2014,106150761,MERCY HOSPITAL - BAKERSFIELD,KERN,BASIC,6986.0,68245.0,0.9462871626915073,mercy-hospital---bakersfield
2014,106150782,RIDGECREST REGIONAL HOSPITAL,KERN,BASIC,1279.0,16559.0,0.22960757750763672,ridgecrest-regional-hospital
2014,106150788,ADVENTIST HEALTH BAKERSFIELD,KERN,BASIC,11781.0,67760.0,0.9395621385299514,adventist-health-bakersfield
2014,106150808,ADVENTIST HEALTH TEHACHAPI VALLEY,KERN,STANDBY,127.0,12425.0,0.17228541279862228,adventist-health-tehachapi-valley
2014,106154101,BAKERSFIELD HEART HOSPITAL,KERN,BASIC,3391.0,8596.0,0.11919238699532854,bakersfield-heart-hospital
2014,106164029,ADVENTIST HEALTH HANFORD,KINGS,BASIC,7172.0,106237.0,1.4730853440231175,adventist-health-hanford
2014,106171049,ADVENTIST HEALTH CLEARLAKE,LAKE,STANDBY,1021.0,18996.0,0.26339909066580514,adventist-health-clearlake
2014,106171395,SUTTER LAKESIDE HOSPITAL,LAKE,BASIC,1027.0,17081.0,0.23684564474955871,sutter-lakeside-hospital
2014,106184008,BANNER LASSEN MEDICAL CENTER,LASSEN,BASIC,863.0,9770.0,0.1354711052750535,banner-lassen-medical-center
2014,106190017,ALHAMBRA HOSPITAL MEDICAL CENTER,LOS ANGELES,BASIC,2959.0,11940.0,0.1655603886370664,alhambra-hospital-medical-center
2014,106190034,ANTELOPE VALLEY HOSPITAL,LOS ANGELES,BASIC,11822.0,98837.0,1.3704767279498937,antelope-valley-hospital
2014,106190045,CATALINA ISLAND MEDICAL CENTER,LOS ANGELES,STANDBY,7.0,1807.0,0.02505591476274531,catalina-island-medical-center
2014,106190053,ST. MARY MEDICAL CENTER - LONG BEACH,LOS ANGELES,BASIC,6443.0,48296.0,0.6696737461989748,st-mary-medical-center---long-beach
2014,106190081,BEVERLY HOSPITAL,LOS ANGELES,BASIC,6531.0,27523.0,0.38163472164639684,beverly-hospital
2014,106190110,SOUTHERN CALIFORNIA HOSPITAL AT CULVER CITY,LOS ANGELES,BASIC,6288.0,18538.0,0.25704844929262455,southern-california-hospital-at-culver-city
2014,106190125,CALIFORNIA HOSPITAL MEDICAL CENTER - LOS ANGELES,LOS ANGELES,BASIC,9447.0,65301.0,0.9054655727294031,california-hospital-medical-center---los-angeles
2014,106190148,CENTINELA HOSPITAL MEDICAL CENTER,LOS ANGELES,BASIC,15417.0,52937.0,0.734025987711925,centinela-hospital-medical-center
2014,106190159,GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER,LOS ANGELES,BASIC,2711.0,7245.0,0.10045938154736567,gardens-regional-hospital-and-medical-center
2014,106190170,CHILDREN'S HOSPITAL OF LOS ANGELES,LOS ANGELES,BASIC,7130.0,66871.0,0.9272352385719654,childrens-hospital-of-los-angeles
2014,106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,LOS ANGELES,STANDBY,3305.0,35991.0,0.4990522569042426,community-hospital-of-huntington-park
2014,106190198,LOS ANGELES COMMUNITY HOSPITAL,LOS ANGELES,STANDBY,2037.0,5961.0,0.08265540005574144,los-angeles-community-hospital
2014,106190200,SAN GABRIEL VALLEY MEDICAL CENTER,LOS ANGELES,BASIC,4547.0,20431.0,0.28329684256649107,san-gabriel-valley-medical-center
2014,106190240,LAKEWOOD REGIONAL MEDICAL CENTER,LOS ANGELES,BASIC,6258.0,45240.0,0.6272991609665732,lakewood-regional-medical-center
2014,106190243,PIH HEALTH HOSPITAL - DOWNEY,LOS ANGELES,BASIC,6344.0,43500.0,0.6031722701601665,pih-health-hospital---downey
2014,106190256,EAST LOS ANGELES DOCTORS HOSPITAL,LOS ANGELES,BASIC,1828.0,12798.0,0.17745744168988073,east-los-angeles-doctors-hospital
2014,106190280,ENCINO HOSPITAL MEDICAL CENTER,LOS ANGELES,BASIC,2156.0,8265.0,0.11460273133043164,encino-hospital-medical-center
2014,106190298,EMANATE HEALTH FOOTHILL PRESBYTERIAN HOSPITAL,LOS ANGELES,BASIC,3706.0,22179.0,0.3075346616064904,emanate-health-foothill-presbyterian-hospital
2014,106190315,GARFIELD MEDICAL CENTER,LOS ANGELES,BASIC,5991.0,19577.0,0.2714552536304731,garfield-medical-center
2014,106190323,ADVENTIST HEALTH GLENDALE,LOS ANGELES,BASIC,13489.0,33440.0,0.4636800164173786,adventist-health-glendale
