year,oshpd_id,facility_name,county_name,er_service_level_desc,ed_admit,ed_visit,burden_score,facility_id,burden_lag_1,burden_lag_2,burden_lag_3,rolling_mean_3,rolling_mean_7,rolling_std_7,pct_change_recent,ed_visits_per_year,month,is_post_covid,year_index,high_burden_next
2024,106390923,ADVENTIST HEALTH LODI MEMORIAL,SAN JOAQUIN,BASIC,6241.0,54696.0,0.7584163330731142,adventist-health-lodi-memorial,0.73682692561014,0.7103150777814908,0.592564757822867,0.7351861121549149,0.6588126836134635,0.08402614881589182,0.029300513746965483,54696.0,1,1,12,0
2023,106231013,ADVENTIST HEALTH MENDOCINO COAST,MENDOCINO,STANDBY,692.0,9751.0,0.1352076507202708,adventist-health-mendocino-coast,0.1242812197113924,0.1188041381777541,0.1058255348474112,0.12609766953647242,0.12102963586420712,0.012216197314158793,0.08791699207854502,9751.0,1,1,11,1
2024,106231013,ADVENTIST HEALTH MENDOCINO COAST,MENDOCINO,STANDBY,702.0,10689.0,0.1482139861090119,adventist-health-mendocino-coast,0.1352076507202708,0.1242812197113924,0.1188041381777541,0.13590095218022505,0.12646650591316808,0.01611596684224341,0.09619526202440812,10689.0,1,1,12,0
2015,106100797,ADVENTIST HEALTH REEDLEY,FRESNO,STANDBY,566.0,28169.0,0.3905921765090053,adventist-health-reedley,0.3257546239740871,0.2722178852364227,0.2377608026766982,0.32952156190650506,0.30658137209905334,0.06668970147892919,0.1990380113225218,28169.0,1,0,3,0
2016,106100797,ADVENTIST HEALTH REEDLEY,FRESNO,STANDBY,479.0,31726.0,0.4399136423701481,adventist-health-reedley,0.3905921765090053,0.3257546239740871,0.2722178852364227,0.3854201476177468,0.33324782615327225,0.08301286690411534,0.12627356313678148,31726.0,1,0,4,0
2017,106100797,ADVENTIST HEALTH REEDLEY,FRESNO,STANDBY,496.0,35980.0,0.4988997305830527,adventist-health-reedley,0.4399136423701481,0.3905921765090053,0.3257546239740871,0.4431351831540687,0.360856476891569,0.1004307444503316,0.13408560801865996,35980.0,1,0,5,1
2018,106100797,ADVENTIST HEALTH REEDLEY,FRESNO,STANDBY,459.0,38072.0,0.527907463667537,adventist-health-reedley,0.4988997305830527,0.4399136423701481,0.3905921765090053,0.48890694554024594,0.38472090357385014,0.11131870785492877,0.05814341300722626,38072.0,1,0,6,1
2019,106100797,ADVENTIST HEALTH REEDLEY,FRESNO,STANDBY,411.0,39907.0,0.5533516272478567,adventist-health-reedley,0.527907463667537,0.4988997305830527,0.4399136423701481,0.5267196071661487,0.42980530708401565,0.10564244249905115,0.04819815087203189,39907.0,1,0,7,0
2020,106100797,ADVENTIST HEALTH REEDLEY,FRESNO,STANDBY,327.0,29730.0,0.4122370480887758,adventist-health-reedley,0.5533516272478567,0.527907463667537,0.4988997305830527,0.49783204633472317,0.4498080446343518,0.08127733958079499,-0.25501791665622586,29730.0,1,1,8,0
2021,106100797,ADVENTIST HEALTH REEDLEY,FRESNO,STANDBY,310.0,32277.0,0.4475538244588435,adventist-health-reedley,0.4122370480887758,0.5533516272478567,0.527907463667537,0.4710474999318253,0.4672079304178885,0.06073518163595878,0.08567103935418773,32277.0,1,1,9,1
2022,106100797,ADVENTIST HEALTH REEDLEY,FRESNO,STANDBY,252.0,38319.0,0.5313323728797108,adventist-health-reedley,0.4475538244588435,0.4122370480887758,0.5533516272478567,0.4637077484757767,0.4873136727565606,0.05407534555168821,0.18719211822660106,38319.0,1,1,10,0
2023,106100797,ADVENTIST HEALTH REEDLEY,FRESNO,STANDBY,280.0,36422.0,0.5050285154890479,adventist-health-reedley,0.5313323728797108,0.4475538244588435,0.4122370480887758,0.4946382376092007,0.4966157974878321,0.05001033906436735,-0.04950546726167172,36422.0,1,1,11,0
2024,106100797,ADVENTIST HEALTH REEDLEY,FRESNO,STANDBY,280.0,37620.0,0.5216400184695509,adventist-health-reedley,0.5050285154890479,0.5313323728797108,0.4475538244588435,0.5193336356127699,0.4998644100430461,0.05091385695567746,0.03289220800615009,37620.0,1,1,12,0
2015,106560525,ADVENTIST HEALTH SIMI VALLEY,VENTURA,BASIC,5331.0,30130.0,0.4177834597684096,adventist-health-simi-valley,0.3859747887857102,0.3535005484014548,0.3532370938466722,0.38575293231852487,0.3776239727005617,0.030871669812249328,0.08241126598649245,30130.0,1,0,3,0
2016,106560525,ADVENTIST HEALTH SIMI VALLEY,VENTURA,BASIC,6081.0,29732.0,0.412264780147174,adventist-health-simi-valley,0.4177834597684096,0.3859747887857102,0.3535005484014548,0.4053410095670979,0.38455213418988415,0.03089971044942111,-0.013209425821440527,29732.0,1,0,4,0
2017,106560525,ADVENTIST HEALTH SIMI VALLEY,VENTURA,BASIC,5907.0,30669.0,0.425257249506716,adventist-health-simi-valley,0.412264780147174,0.4177834597684096,0.3859747887857102,0.41843516314076656,0.39133632007602276,0.032248794605574754,0.031514866137495046,30669.0,1,0,5,0
2018,106560525,ADVENTIST HEALTH SIMI VALLEY,VENTURA,BASIC,5648.0,30290.0,0.4200020244402631,adventist-health-simi-valley,0.425257249506716,0.412264780147174,0.4177834597684096,0.4191746846980511,0.3954314206994857,0.03136945815717032,-0.012357755388176949,30290.0,1,0,6,0
2019,106560525,ADVENTIST HEALTH SIMI VALLEY,VENTURA,BASIC,6597.0,30531.0,0.4233437374772424,adventist-health-simi-valley,0.4200020244402631,0.425257249506716,0.412264780147174,0.4228676704747405,0.4054466555038529,0.02646021901673113,0.007956421261142337,30531.0,1,0,7,0
